"db","finaltax","species","genus","family","order","class","phylum","kingdom"
"ncbi","Homo sapiens","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Metazoa"
"ncbi","Hyalophora",NA,"Hyalophora","Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyalophora cecropia","Hyalophora cecropia","Hyalophora","Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hydrelia",NA,"Hydrelia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyles lineata","Hyles lineata","Hyles","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hymenoptera",NA,NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypagyrtis",NA,"Hypagyrtis","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypatopa vestaliella","Hypatopa vestaliella","Hypatopa","Blastobasidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypebaeus apicalis","Hypebaeus apicalis","Hypebaeus","Melyridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypena scabra","Hypena scabra","Hypena","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypera punctata","Hypera punctata","Hypera","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypercompe scribonia","Hypercompe scribonia","Hypercompe","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyperlasion",NA,"Hyperlasion","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyphantria cunea","Hyphantria cunea","Hyphantria","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypothenemus",NA,"Hypothenemus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hypothenemus ",NA,"Hypothenemus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ichneumonidae",NA,NA,"Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Idia americalis","Idia americalis","Idia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Inga sparsiciliella","Inga sparsiciliella","Inga","Oecophoridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Isa textula","Isa textula","Isa","Limacodidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Isomira antennata","Isomira antennata","Isomira","Tenebrionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Isotomidae",NA,NA,"Isotomidae","Entomobryomorpha","Collembola","Arthropoda","Metazoa"
"ncbi","Italochrysa megista","Italochrysa megista","Italochrysa","Chrysopidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Jikradia olitoria","Jikradia olitoria","Jikradia","Cicadellidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Junoniini",NA,NA,"Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Kleidocerys resedae","Kleidocerys resedae","Kleidocerys","Lygaeidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lachesillidae",NA,NA,"Lachesillidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lachninae",NA,NA,"Aphididae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lacinipolia renigera","Lacinipolia renigera","Lacinipolia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Laemophloeus biguttatus","Laemophloeus biguttatus","Laemophloeus","Laemophloeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lamyctes",NA,"Lamyctes","Henicopidae","Lithobiomorpha","Chilopoda","Arthropoda","Metazoa"
"ncbi","Lasioderma serricorne","Lasioderma serricorne","Lasioderma","Ptinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lasiopteridi",NA,NA,"Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lasiopterini",NA,NA,"Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lasiurus borealis","Lasiurus borealis","Lasiurus","Vespertilionidae","Chiroptera","Mammalia","Chordata","Metazoa"
"ncbi","Lasius",NA,"Lasius","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leiobuninae",NA,NA,"Sclerosomatidae","Opiliones","Arachnida","Arthropoda","Metazoa"
"ncbi","Leptinotarsa juncta","Leptinotarsa juncta","Leptinotarsa","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leptoglossus zonatus","Leptoglossus zonatus","Leptoglossus","Coreidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leptoteleia americana","Leptoteleia americana","Leptoteleia","Scelionidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lespesia aletiae","Lespesia aletiae","Lespesia","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lestodiplosis",NA,"Lestodiplosis","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lestodiplosis miki","Lestodiplosis miki","Lestodiplosis","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lestodiplosis polypori","Lestodiplosis polypori","Lestodiplosis","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leucauge venusta","Leucauge venusta","Leucauge","Tetragnathidae","Araneae","Arachnida","Arthropoda","Metazoa"
"ncbi","Leucochrysa",NA,"Leucochrysa","Chrysopidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Libellulidae",NA,NA,"Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Libnotes",NA,"Libnotes","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lichenomima",NA,"Lichenomima","Myopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limacodidae",NA,NA,"Limacodidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limnephilidae",NA,NA,"Limnephilidae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limoniidae",NA,NA,"Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limoniinae",NA,NA,"Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lispe tentaculata","Lispe tentaculata","Lispe","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Litargus balteatus","Litargus balteatus","Litargus","Mycetophagidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lochmaeus",NA,"Lochmaeus","Notodontidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Loensia moesta","Loensia moesta","Loensia","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lonchoptera bifurcata","Lonchoptera bifurcata","Lonchoptera","Lonchopteridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lucilia",NA,"Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Luciliinae",NA,NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lucoppia burrowsi","Lucoppia burrowsi","Lucoppia","Oribatulidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Lycorma",NA,"Lycorma","Fulgoridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lycorma delicatula","Lycorma delicatula","Lycorma","Fulgoridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lygephila dorsigera","Lygephila dorsigera","Lygephila","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lygus lineolaris","Lygus lineolaris","Lygus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lysiphlebus testaceipes","Lysiphlebus testaceipes","Lysiphlebus","Braconidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Macaria",NA,"Macaria","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Machimia tentoriferella","Machimia tentoriferella","Machimia","Depressariidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Macrocyclops albidus","Macrocyclops albidus","Macrocyclops","Cyclopidae","Cyclopoida","Hexanauplia","Arthropoda","Metazoa"
"ncbi","Madoniella dislocata","Madoniella dislocata","Madoniella","Cleridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Maladera atavana","Maladera atavana","Maladera","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Malgasia",NA,"Malgasia","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mandibulata",NA,NA,NA,NA,NA,"Arthropoda","Metazoa"
"ncbi","Manduca",NA,"Manduca","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mantis religiosa","Mantis religiosa","Mantis","Mantidae","Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Mantodea",NA,NA,NA,"Mantodea","Insecta","Arthropoda","Metazoa"
"ncbi","Mantura chrysanthemi","Mantura chrysanthemi","Mantura","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Marumba",NA,"Marumba","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mayetiola",NA,"Mayetiola","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mayetiola destructor","Mayetiola destructor","Mayetiola","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Medetera",NA,"Medetera","Dolichopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Megaselia",NA,"Megaselia","Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Megaselia arcticae","Megaselia arcticae","Megaselia","Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Megaselia scalaris","Megaselia scalaris","Megaselia","Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Megaseliini",NA,NA,"Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Megatibicen auletes","Megatibicen auletes","Megatibicen","Cicadidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meilichius apicicornis","Meilichius apicicornis","Meilichius","Endomychidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanophora roralis","Melanophora roralis","Melanophora","Rhinophoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanophthalma",NA,"Melanophthalma","Latridiidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanoplus",NA,"Melanoplus","Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanotus",NA,"Melanotus","Elateridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meloidae",NA,NA,"Meloidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melyridae",NA,NA,"Melyridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Menimus",NA,"Menimus","Tenebrionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mephitis mephitis","Mephitis mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Metazoa"
"ncbi","Mermiria bivittata","Mermiria bivittata","Mermiria","Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meromyza",NA,"Meromyza","Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meronera venustula","Meronera venustula","Meronera","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Metalimnobia quadrinotata","Metalimnobia quadrinotata","Metalimnobia","Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Metopininae",NA,NA,"Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Metylophorus novaescotiae","Metylophorus novaescotiae","Metylophorus","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Micromus angulatus","Micromus angulatus","Micromus","Hemerobiidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Micromus posticus","Micromus posticus","Micromus","Hemerobiidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Microscapha clavicornis","Microscapha clavicornis","Microscapha","Melandryidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Minettia lupulina","Minettia lupulina","Minettia","Lauxaniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Miridae",NA,NA,"Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Monochamini",NA,NA,"Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Monoctenus sanchezi","Monoctenus sanchezi","Monoctenus","Diprionidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Monomorium pharaonis","Monomorium pharaonis","Monomorium","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Monomorium triviale","Monomorium triviale","Monomorium","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Monotoma spinicollis","Monotoma spinicollis","Monotoma","Monotomidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mordella brachyura","Mordella brachyura","Mordella","Mordellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mus musculus","Mus musculus","Mus","Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Muscidae",NA,NA,"Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscina levida","Muscina levida","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscina pascuorum","Muscina pascuorum","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscoidea",NA,NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscomorpha",NA,NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Myas coracinus","Myas coracinus","Myas","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mycetophagidae",NA,NA,"Mycetophagidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mycetophila fungorum","Mycetophila fungorum","Mycetophila","Mycetophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mycetophilidae",NA,NA,"Mycetophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mycodiplosis coniophaga","Mycodiplosis coniophaga","Mycodiplosis","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mymaridae",NA,NA,"Mymaridae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Myrmicinae",NA,NA,"Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mythimna unipuncta","Mythimna unipuncta","Mythimna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nabinae",NA,NA,"Nabidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neocaledonidiplosis neoaryterae","Neocaledonidiplosis neoaryterae","Neocaledonidiplosis","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neodiprion lecontei","Neodiprion lecontei","Neodiprion","Diprionidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neoheteroptera",NA,NA,NA,"Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neonemobius cubensis","Neonemobius cubensis","Neonemobius","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neoptera",NA,NA,NA,NA,"Insecta","Arthropoda","Metazoa"
"ncbi","Neoribates",NA,"Neoribates","Parakalummidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Nephelodes minians","Nephelodes minians","Nephelodes","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nephrotoma quadrifaria","Nephrotoma quadrifaria","Nephrotoma","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Neuroptera",NA,NA,NA,"Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nicrophorus tomentosus","Nicrophorus tomentosus","Nicrophorus","Silphidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Niditinea fuscella","Niditinea fuscella","Niditinea","Tineidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nitidulinae",NA,NA,"Nitidulidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Noctua",NA,"Noctua","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Noctuidae",NA,NA,"Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Noctuinae",NA,NA,"Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Noctuoidea",NA,NA,NA,"Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Notodontidae",NA,NA,"Notodontidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nylanderia flavipes","Nylanderia flavipes","Nylanderia","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nysius cymoides","Nysius cymoides","Nysius","Lygaeidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Obtectomera",NA,NA,NA,"Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ochropleura implecta","Ochropleura implecta","Ochropleura","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Odocoileus virginianus","Odocoileus virginianus","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Oecanthus nigricornis","Oecanthus nigricornis","Oecanthus","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oenoe hybromella","Oenoe hybromella","Oenoe","Meessiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oestroidea",NA,NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olethreutes",NA,"Olethreutes","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olethreutinae",NA,NA,"Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olibrus",NA,"Olibrus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olibrus semistriatus","Olibrus semistriatus","Olibrus","Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Olisthaerus megacephalus","Olisthaerus megacephalus","Olisthaerus","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Onthophagus pennsylvanicus","Onthophagus pennsylvanicus","Onthophagus","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orchopeas caedens","Orchopeas caedens","Orchopeas","Ceratophyllidae","Siphonaptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oribatulidae",NA,NA,"Oribatulidae","Sarcoptiformes","Arachnida","Arthropoda","Metazoa"
"ncbi","Orocharis saltator","Orocharis saltator","Orocharis","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orthocentrus fulvipes","Orthocentrus fulvipes","Orthocentrus","Ichneumonidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orthocladiinae",NA,NA,"Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orthopodomyia alba","Orthopodomyia alba","Orthopodomyia","Culicidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oscinellinae",NA,NA,"Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Otiorhynchus rugosostriatus","Otiorhynchus rugosostriatus","Otiorhynchus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ovis",NA,"Ovis","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Oxyethira pallida","Oxyethira pallida","Oxyethira","Hydroptilidae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oxyethira zeronia","Oxyethira zeronia","Oxyethira","Hydroptilidae","Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pachypsylla",NA,"Pachypsylla","Aphalaridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Palthis angulalis","Palthis angulalis","Palthis","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pancrustacea",NA,NA,NA,NA,NA,"Arthropoda","Metazoa"
"ncbi","Pandeleteius hilaris","Pandeleteius hilaris","Pandeleteius","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pantala flavescens","Pantala flavescens","Pantala","Libellulidae","Odonata","Insecta","Arthropoda","Metazoa"
"ncbi","Paonias excaecata","Paonias excaecata","Paonias","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Papilio",NA,"Papilio","Papilionidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Parachironomus",NA,"Parachironomus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
