"db","query","genus","family","order","class","phylum","kingdom"
"ncbi","Hexapoda",NA,NA,NA,NA,"Arthropoda","Metazoa"
"ncbi","Didactylomyia","Didactylomyia","Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Metazoa"
"ncbi","Coleoptera",NA,NA,"Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Medetera","Medetera","Dolichopodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Drosophila","Drosophila","Drosophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cecidomyiidae",NA,"Cecidomyiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blattellidae",NA,"Blattellidae","Blattodea","Insecta","Arthropoda","Metazoa"
"ncbi","Sciurus carolinensis","Sciurus","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Conotrachelus","Conotrachelus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Bradysia","Bradysia","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ectopsocus meridionalis","Ectopsocus","Ectopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lepidoptera",NA,NA,"Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Aaroniella badonneli","Aaroniella","Philotarsidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tortricidae",NA,"Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hemerobiidae",NA,"Hemerobiidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysomya megacephala","Chrysomya","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichadenotecnum","Trichadenotecnum","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanoplus","Melanoplus","Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hemiptera",NA,NA,"Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Gryllus","Gryllus","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peripsocidae",NA,"Peripsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Asilidae",NA,"Asilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Valenzuela","Valenzuela","Caeciliusidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Velarifictorus micado","Velarifictorus","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tenthredinidae",NA,"Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Orthoptera",NA,NA,"Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Arthropoda",NA,NA,NA,NA,"Arthropoda","Metazoa"
"ncbi","Curculio","Curculio","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Mus musculus","Mus","Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Chrysopidae",NA,"Chrysopidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Melanophora roralis","Melanophora","Rhinophoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Crambidae",NA,"Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Odocoileus virginianus","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Ceratopogonidae",NA,"Ceratopogonidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Allonemobius socius","Allonemobius","Gryllidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Spanagonicus albofasciatus","Spanagonicus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lapara coniferarum","Lapara","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pedicia albivitta","Pedicia","Pediciidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Ectopsocopsis cryptomeriae","Ectopsocopsis","Ectopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Carabidae",NA,"Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Capra hircus","Capra","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Glaucomys volans","Glaucomys","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Psychoda alternata","Psychoda","Psychodidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Echmepteryx hageni","Echmepteryx","Lepidopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phoridae",NA,"Phoridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Pseudocaeciliidae",NA,"Pseudocaeciliidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Bos taurus","Bos","Bovidae","Artiodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Sciaridae",NA,"Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Hyalophora cecropia","Hyalophora","Saturniidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Procyon lotor","Procyon","Procyonidae","Carnivora","Mammalia","Chordata","Metazoa"
"ncbi","Harmonia axyridis","Harmonia","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paria ","Paria","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Geometridae",NA,"Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Endomychidae",NA,"Endomychidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Peripsocus madidus","Peripsocus","Peripsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Felis catus","Felis","Felidae","Carnivora","Mammalia","Chordata","Metazoa"
"ncbi","Staphylinidae",NA,"Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blarina brevicauda","Blarina","Soricidae","Eulipotyphla","Mammalia","Chordata","Metazoa"
"ncbi","Chloropidae",NA,"Chloropidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Phalacridae",NA,"Phalacridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Curculionidae",NA,"Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Psocoptera",NA,NA,"Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Gracillariidae",NA,"Gracillariidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Carabus","Carabus","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Popillia japonica","Popillia","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paralimna","Paralimna","Ephydridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sciara humeralis","Sciara","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Halyomorpha halys","Halyomorpha","Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Teliapsocus conterminus","Teliapsocus","Amphipsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Smittia","Smittia","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Equus caballus","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa"
"ncbi","Copris","Copris","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rhaphidophoridae",NA,"Rhaphidophoridae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lasius","Lasius","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tamias striatus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Peromyscus leucopus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Hypothenemus","Hypothenemus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Limoniidae",NA,"Limoniidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Kleidocerys resedae","Kleidocerys","Lygaeidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sargus","Sargus","Stratiomyidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Xanthocaecilius sommermanae","Xanthocaecilius","Caeciliusidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Zeugomantispa minuta","Zeugomantispa","Mantispidae","Neuroptera","Insecta","Arthropoda","Metazoa"
"ncbi","Dissosteira carolina","Dissosteira","Acrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Diprionidae",NA,"Diprionidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lichenomima","Lichenomima","Myopsocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Euxesta notata","Euxesta","Ulidiidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Meronera venustula","Meronera","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Diestrammena asynamora","Diestrammena","Rhaphidophoridae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Loensia moesta","Loensia","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Blaste","Blaste","Psocidae","Psocoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sitotroga cerealella","Sitotroga","Gelechiidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tettigoniidae",NA,"Tettigoniidae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oecophoridae",NA,"Oecophoridae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysomelidae",NA,"Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sphingidae",NA,"Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Noctuidae",NA,"Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tabanidae",NA,"Tabanidae","Diptera","Insecta","Arthropoda","Metazoa"
